symbol,message,datetime,user,message_id
AAPL,"$AAPL analysts on Estimize expect -0.28% YoY growth in Gross Margins for Q2, up from -1.19% in previous year [Reporting 05/01 AMC]
http://www.estimize.com/intro/aapl?chart=change-over-time&amp;metric_name=gross_margins&amp;utm_content=AAPL&amp;utm_medium=metric_growth&amp;utm_source=stocktwits",2018-02-18T19:05:21Z,727510,113436333
AAPL,Morgan Stanley: iPhone X Is Winning Market Share In China https://benzinga.com/z/11208468 $AAPL,2018-02-18T19:03:28Z,7108,113436265
AAPL,$AAPL Looks to have ended the cycle from 02/09 low and 3 waves pullback would take it back toward $162.5 area #Elliottwave,2018-02-18T19:03:10Z,128933,113436256
AAPL,$BTC.X just getting warmed up? Is this the start of a much larger rally to come? $SPY $QQQ $AAPL $FB $NFLX take note! https://stocktwits.com/symbol/BTC.X,2018-02-18T18:46:03Z,1009807,113435579
AAPL,@JonSnow1978 $AAPL tomorrow the market is closed,2018-02-18T18:40:26Z,251391,113435371
AAPL,$AAPL tomorrow the market will be awesome!!,2018-02-18T18:36:44Z,859209,113435247
AAPL,$AAPL I love this stock. I make a good living trading it. Not upset to keep it either. Love the cash for safety. Cheers,2018-02-18T18:15:23Z,49656,113434448
AAPL,Tomorrow morning I&#39;m going to post a new @youtube video about analyzing FLAT BASES.  Used $AAPL in this example. https://t.co/EA9Y55cx5F,2018-02-18T18:13:45Z,169952,113434395
AAPL,"$AAPL analysts on Estimize are expecting 33.80% YoY EPS growth for Q2, up from 15.77% in Q1 [Reporting 05/01 AMC]
http://www.estimize.com/intro/aapl?chart=historical&amp;metric_name=eps&amp;utm_content=AAPL&amp;utm_medium=eps_growth&amp;utm_source=stocktwits",2018-02-18T18:12:44Z,727510,113434361
AAPL,"$AAPL It&#39;s always a buy, but at the right price. Price doesn&#39;t go straight up, it ebbs &amp; flows. Took partial profits &amp; will add on pullback",2018-02-18T18:09:06Z,251391,113434225
AAPL,$AAPL trying to help people that are getting played by people like you. The more i can expose the fake traders the better my following.,2018-02-18T18:04:23Z,1212226,113434036
AAPL,"$AAPL @1youngking 21 Bearish Comments in 3 1/2 hours. If it takes you 21 comments to make your point, you&#39;re a troll. Buh bye",2018-02-18T17:57:42Z,455104,113433773
AAPL,$AAPL haters are very strong here... lots of noise and “this is going to zero” yak.....  new ATH will be here before another shot at $160,2018-02-18T17:57:10Z,201464,113433747
AAPL,$AAPL  never burnt just honest. Let me know how that feels when the stock goes down. And for those that dont know i actually like AAPL.,2018-02-18T17:53:37Z,1212226,113433609
AAPL,$NVDA $AAPL  $MU  $AMZN all four have same look to me . Going to clear the roof,2018-02-18T17:53:22Z,911213,113433599
AAPL,"$AAPL Looking for high delta options, around the $165.00 strike. $50- $100 pop and I&#39;m out. Tired of wasting money and being a newb.",2018-02-18T17:48:13Z,1151080,113433403
AAPL,$AAPL which is better platform... eTrade or td ameritrade?,2018-02-18T17:46:42Z,1133216,113433349
AAPL,$AAPL all these bears are bulls who got burned in the 160’s,2018-02-18T17:44:05Z,850574,113433253
AAPL,$AAPL next Nokia,2018-02-18T17:42:32Z,482265,113433211
AAPL,"@PleaseBlock 
Thank You, PB!!!... GOOD POINT!!!... I Love The Fact, $AAPL Cash-Flow, Is THE VERY-BEST, I Have EVER SEEN!!!... Yes, EVER!!!",2018-02-18T17:42:25Z,983862,113433207
AAPL,$AAPL All stocks consolidate. Don&#39;t forget that.,2018-02-18T17:40:07Z,1212226,113433127
AAPL,"$AAPL Im glad some bulls know Aapl is a cash king, even though its always been a cash king. Lol... that doesn&#39;t mean it can&#39;t consolidate.",2018-02-18T17:38:37Z,1212226,113433066
AAPL,$AAPL has an average volume of 35360500. This is a good sign as it is always nice to have a liquid stock. https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=TA&amp;utm_campaign=social_tracking#/AAPL?key=bb853040-a4ac-41c6-b549-d218d2f21b32,2018-02-18T17:33:05Z,47688,113432862
AAPL,$AAPL You can follow me when it goes down. I wont block you... lol,2018-02-18T17:32:14Z,1212226,113432827
AAPL,"$AAPL Lol, show me a time when Warren bought and this stock went straight up. It would be to obvious and thats not how the market works.",2018-02-18T17:31:22Z,1212226,113432794
AAPL,"$SPY FIVE MINUTE TRADES ARE WORKING  
 
http://www.tradewithjoe.com/trading-the-opening-five-minute-candle/ 
 
$SPX $VIX $VXX $UVXY $FB $AMZN $NFLX $GOOGL $TSLA $BIGU $BABA $AAPL $BA #STUDY",2018-02-18T17:28:22Z,234409,113432698
AAPL,$AAPL the &quot;correction&quot; was Buffet&#39;s ideal buying opportunity. People were literally quoting him at the time,2018-02-18T17:28:20Z,1033580,113432697
AAPL,"$AAPL cash is King, don&#39;t forget that",2018-02-18T17:27:23Z,1033580,113432657
AAPL,"$SPY $SPX $AAPL Gem observation in this article. The similarity of the charts is striking (Aug 2015 vs. now). 
http://stockcharts.com/articles/chartwatchers/2018/02/history-and-fibonacci-say-we-topped-on-friday.html",2018-02-18T17:27:14Z,240903,113432654
AAPL,$AAPL lol at these bears who don&#39;t understand that if buffet was buying a few months ago he was also buying the dip two weeks ago.,2018-02-18T17:27:12Z,1033580,113432652
AAPL,"$AAPL More discounts to come. I dont understand the bulls here, is like they are trying to set people up to short.",2018-02-18T17:26:14Z,1212226,113432624
AAPL,"$AAPL FYI, He doubled three months ago. Your just hearing about it now. When you invest that much money you get your shares bits at a time",2018-02-18T17:23:27Z,1212226,113432516
AAPL,$AAPL Warren Buffet doubled his stakes because his top analysts at Berkshire see the very bright and very profitable now of AAPL! BUY!!!,2018-02-18T17:20:32Z,1396147,113432400
AAPL,APPLE Weekend update:  https://goo.gl/spF6jg $AAPL,2018-02-18T17:14:35Z,39116,113432176
AAPL,$AAPL We are still in February. I wonder who the clowns are?,2018-02-18T17:11:33Z,1212226,113432050
AAPL,$AAPL is it the same conference call they mentioned they will let investors know what they are doing with their money in March?,2018-02-18T17:10:36Z,1212226,113432021
AAPL,@hingfdiuh @Stockss1111 This is the risk cycle in the roadmap. $AAPL $FIT $SSNLF have a huge lead on them + 2018,2018-02-18T17:09:54Z,738148,113431996
AAPL,$AAPL $$$$,2018-02-18T17:07:29Z,619769,113431898
AAPL,$AAPL lots of cash left to spend before they report even more buybacks-these clowns on twits damn sure didn’t listen to the conference call,2018-02-18T17:05:43Z,619769,113431808
